1,4.535
2,4.381
3,4.166
4,4.117
5,3.667
6,2.904
7,1.907
8,2.892
9,3.862
10,4.795
11,4.933
12,5.639
13,6.087
14,6.738
15,6.738
16,7.702
17,7.088
18,7.081
19,6.358
20,5.916
21,5.53
22,5.095
23,4.389
24,3.684
25,3.012
26,2.123
27,1.772
28,2.027
29,2.403
30,3.263
31,3.688
32,3.745
33,4.131
34,4.382
35,4.669
36,5.501
37,5.571
38,6.064
39,6.597
40,6.989
41,7.695
42,7.114
43,6.238
44,5.803
45,5.726
46,5.71
47,5.532
48,5.517
49,4.67
50,3.718
51,3.369
52,2.556
53,1.691
54,2.324
55,2.008
56,1.14
57,1.812
58,2.6
59,3.354
60,3.385
61,3.791
62,3.793
63,4.62
64,5.458
65,5.511
66,5.732
67,6.425
68,6.435
69,7.186
