1,57.288
2,58.36
3,59.784
4,60.97
5,62.365
6,63.098
7,63.291
8,64.402
9,64.792
10,66.52
11,67.423
12,68.959
13,70.871
14,71.283
15,72.368
16,73.421
17,74.802
18,76.516
19,77.842
20,79.686
21,81.12
22,82.885
23,84.145
24,86.127
25,87.207
26,88.345
27,89.253
28,90.607
29,91.373
30,93.367
31,94.14
32,94.895
33,95.97
34,97.038
35,99.416
36,100.899
37,100.02
38,98.58
39,96.583
40,95.58
41,94.89
42,94.093
43,92.594
44,92.158
45,91.258
46,89.153
47,88.625
48,87.887
49,87.231
50,85.061
51,84.075
52,83.338
53,82.022
54,81.356
55,79.526
56,78.113
57,76.444
58,74.891
59,73.534
60,71.649
61,70.066
62,68.116
63,67.511
64,65.776
65,64.743
66,64.056
67,62.646
68,61.196
