1,2.576
2,2.518
3,2.196
4,1.479
5,0.612
6,0.341
7,-0.58
8,-0.148
9,0.776
10,0.893
11,1.858
12,2.744
13,2.94
14,3.78
15,3.931
16,3.851
17,2.918
18,2.625
19,2.284
20,1.994
21,1.157
22,0.432
23,0.228
24,-0.161
25,-0.199
26,-0.7
27,-0.648
28,-0.281
29,-0.048
30,0.134
31,0.76
32,1.643
33,2.147
34,2.903
35,2.953
36,3.724
37,4.177
38,4.279
39,5.247
40,5.454
41,5.278
42,4.977
43,4.514
44,3.846
45,2.909
46,2.89
47,2.756
48,2.178
49,1.823
50,1.566
51,0.83
52,0.527
53,1.118
54,0.155
55,-0.265
56,0.474
57,0.703
58,1.232
59,1.633
60,1.929
61,2.736
62,2.925
63,3.338
64,3.382
65,3.892
66,4.177
67,4.69
68,5.293
